"parcelle","variete","fertilisation","rendement"
"P001","A","Avec",3.18
"P002","A","Avec",3.43
"P003","A","Avec",3.39
"P004","A","Avec",3.07
"P005","A","Avec",2.56
"P006","A","Avec",3.06
"P007","A","Avec",3.04
"P008","A","Avec",3.2
"P009","A","Avec",3.21
"P010","A","Avec",2.57
"P011","A","Sans",2.85
"P012","A","Sans",2.64
"P013","A","Sans",2.99
"P014","A","Sans",2.24
"P015","A","Sans",2.49
"P016","A","Sans",2.48
"P017","A","Sans",2.97
"P018","A","Sans",2.65
"P019","A","Sans",2.78
"P020","A","Sans",2.38
"P021","B","Avec",3.69
"P022","B","Avec",3.53
"P023","B","Avec",4.05
"P024","B","Avec",3.69
"P025","B","Avec",3.84
"P026","B","Avec",3.82
"P027","B","Avec",3.16
"P028","B","Avec",3.71
"P029","B","Avec",3.17
"P030","B","Avec",3.56
"P031","B","Sans",2.58
"P032","B","Sans",2.68
"P033","B","Sans",2.69
"P034","B","Sans",2.64
"P035","B","Sans",2.12
"P036","B","Sans",2.31
"P037","B","Sans",2.61
"P038","B","Sans",2.56
"P039","B","Sans",2.57
"P040","B","Sans",2.51
